Longitude,SiltContent,BulkDensity,Isothermality,SoilTextureUSDA,UpperD_m,AnnualMeanTemperature,MeanTemperatureofWarmestQuarter,SoilTypeWRB,Direction,TillageClass,PrecipitationofDriestQuarter,SamplingTimeClass,PrecipitationofColdestQuarter
-106.0,0.38,0.82,25.33687973022461,1.4735732651134856,0.0,2.020833253860474,17.08333396911621,1.4735732651134856,1.4735732651134856,1.4472293720552596,45.0,1.4163102681718323,45.0
-106.0,0.39,0.81,25.33687973022461,1.7443530861867957,0.0,2.020833253860474,17.08333396911621,1.7443530861867957,1.7443530861867957,1.4735732651134856,45.0,1.6033804410696948,45.0
-106.0,0.34,1.11,25.33687973022461,1.8467601437335366,0.0,2.020833253860474,17.08333396911621,1.8467601437335366,1.8467601437335366,1.4735732651134856,45.0,1.4735732651134856,45.0
-8.5,0.279,1.48817,43.70451354980469,1.4735732651134856,0.005,16.46249961853027,22.26666641235352,1.4735732651134856,1.4735732651134856,1.454937940978342,32.0,1.4735732651134856,289.0
-8.5,0.279,1.4626379706599995,43.70451354980469,1.8415462844815762,0.005,16.46249961853027,22.26666641235352,1.8415462844815762,1.8415462844815762,1.7064650619354504,32.0,1.4549379409783423,289.0
-8.5,0.279,1.4552926894799996,43.70451354980469,1.852073563248596,0.005,16.46249961853027,22.26666641235352,1.852073563248596,1.852073563248596,1.7481308266472466,32.0,1.5943346675797734,289.0
-8.5,0.279,1.43809268948,43.70451354980469,1.8350086359133997,0.005,16.46249961853027,22.26666641235352,1.8350086359133997,1.8350086359133997,1.7552674320993595,32.0,1.6417044641617828,289.0
-8.5,0.279,1.4355926894799997,43.70451354980469,1.8568205224390546,0.005,16.46249961853027,22.26666641235352,1.8568205224390546,1.8568205224390546,1.7867342048397452,32.0,1.7021771850377612,289.0
-8.5,0.279,1.4344299999999996,43.70451354980469,1.8835222409902894,0.005,16.46249961853027,22.26666641235352,1.8835222409902894,1.8835222409902894,1.4735732651134856,32.0,1.8415462844815758,289.0
-8.5,0.279,1.4331099999999994,43.70451354980469,1.847273861384126,0.005,16.46249961853027,22.26666641235352,1.847273861384126,1.847273861384126,1.5516784244303152,32.0,1.7546527931558782,289.0
-8.5,0.279,1.4436199999999997,43.70451354980469,1.8165348457384944,0.005,16.46249961853027,22.26666641235352,1.8165348457384944,1.8165348457384944,1.5682395283599015,32.0,1.7327540707363347,289.0
-8.5,0.279,1.43759,43.70451354980469,1.806041849516613,0.005,16.46249961853027,22.26666641235352,1.806041849516613,1.806041849516613,1.6067041162053164,32.0,1.731422046861988,289.0
-8.5,0.279,1.4370926894799998,43.70451354980469,1.8058444689649646,0.005,16.46249961853027,22.26666641235352,1.8058444689649646,1.8058444689649646,1.6461769017642787,32.0,1.7394938243217812,289.0
-1.0,0.4292,1.42,41.60561370849609,1.7441457620109524,0.0,17.8791675567627,25.45000076293945,1.4735732651134856,1.7550742420483803,1.762573761970252,31.0,1.682776627155525,73.0
-1.0,0.4292,1.36,41.60561370849609,1.779530029483962,0.0,17.8791675567627,25.45000076293945,1.6973201822447437,1.762347084979134,1.7098072220880913,31.0,1.7138337558500771,73.0
1.8,0.783,1.3265540097899993,35.87105560302734,1.4735732651134856,0.12,10.57499980926514,17.68333435058594,1.4735732651134856,1.7441457620109524,1.819633723254991,140.0,1.7683403242603188,155.0
1.8,0.746,1.3239777261699996,35.87105560302734,1.5603472518662902,0.12,10.57499980926514,17.68333435058594,1.5603472518662902,1.7247408573325806,1.798069662675504,140.0,1.757320407383844,155.0
1.8,0.663,1.3176640097899994,35.87105560302734,1.4735732651134856,0.1,10.57499980926514,17.68333435058594,1.541582484708132,1.68795953950912,1.7372938270460148,140.0,1.7362147859678416,155.0
1.8,0.783,1.3357540097899994,35.87105560302734,1.5415824847081323,0.12,10.57499980926514,17.68333435058594,1.4191187951102093,1.5970692804815942,1.7654011390884274,140.0,1.6835619352254259,155.0
1.8,0.783,1.3450192909599992,35.87105560302734,1.5689530122850162,0.12,10.57499980926514,17.68333435058594,1.4655079550913008,1.6038186947983533,1.7539674846811515,140.0,1.6812406966390145,155.0
