UpperD_m,SiltContent,SoilOrganicCarbon,BulkDensity,Isothermality,Longitude,ClayContent,AnnualMeanTemperature,SoilTypeWRB
0.0,0.38,0.059,0.82,25.33687973022461,-106.0,0.34,2.020833253860474,1.4735732651134856
0.0,0.39,0.052,0.81,25.33687973022461,-106.0,0.34,2.020833253860474,1.7443530861867957
0.0,0.34,0.036,1.11,25.33687973022461,-106.0,0.37,2.020833253860474,1.8467601437335366
0.005,0.279,0.073256,1.48817,43.70451354980469,-8.5,0.164,16.46249961853027,1.4735732651134856
0.005,0.279,0.073256,1.4626379706599995,43.70451354980469,-8.5,0.164,16.46249961853027,1.8415462844815762
0.005,0.279,0.073256,1.4552926894799996,43.70451354980469,-8.5,0.164,16.46249961853027,1.852073563248596
0.005,0.279,0.073256,1.43809268948,43.70451354980469,-8.5,0.164,16.46249961853027,1.8350086359133997
0.005,0.279,0.073256,1.4355926894799997,43.70451354980469,-8.5,0.164,16.46249961853027,1.8568205224390546
0.005,0.279,0.073256,1.4344299999999996,43.70451354980469,-8.5,0.164,16.46249961853027,1.8835222409902894
0.005,0.279,0.073256,1.4331099999999994,43.70451354980469,-8.5,0.164,16.46249961853027,1.847273861384126
0.005,0.279,0.073256,1.4436199999999997,43.70451354980469,-8.5,0.164,16.46249961853027,1.8165348457384944
0.005,0.279,0.073256,1.43759,43.70451354980469,-8.5,0.164,16.46249961853027,1.806041849516613
0.005,0.279,0.073256,1.4370926894799998,43.70451354980469,-8.5,0.164,16.46249961853027,1.8058444689649646
0.0,0.4292,0.0062209,1.42,41.60561370849609,-1.0,0.2721,17.8791675567627,1.4735732651134856
0.0,0.4292,0.0062209,1.36,41.60561370849609,-1.0,0.2721,17.8791675567627,1.6973201822447437
0.12,0.783,0.010291,1.3265540097899993,35.87105560302734,1.8,0.181,10.57499980926514,1.4735732651134856
0.12,0.746,0.010872,1.3239777261699996,35.87105560302734,1.8,0.21,10.57499980926514,1.5603472518662902
0.1,0.663,0.010814,1.3176640097899994,35.87105560302734,1.8,0.279,10.57499980926514,1.541582484708132
0.12,0.783,0.010291,1.3357540097899994,35.87105560302734,1.8,0.181,10.57499980926514,1.4191187951102093
0.12,0.783,0.010291,1.3450192909599992,35.87105560302734,1.8,0.181,10.57499980926514,1.4655079550913008
0.3,0.468,0.0057,1.3397444987899996,35.87105560302734,1.8,0.313,10.57499980926514,1.423973691474936
0.3,0.468,0.0057,1.3417210269099993,35.87105560302734,1.8,0.313,10.57499980926514,1.454887523226347
0.0,0.29913832488999986,0.01,1.18,41.58163452148438,-102.0,0.171040701,13.72500038146973,1.4735732651134856
0.0,0.2979458592199999,0.013,1.25,41.58163452148438,-102.0,0.25644548199999995,13.72500038146973,1.6950301883515464
0.0,0.30838348561999995,0.0225,1.17,41.58163452148438,-102.0,0.2567094849999999,13.72500038146973,1.7228768397262766
0.0,0.33044280057999986,0.01,1.18,41.58163452148438,-102.0,0.3022811699999998,13.72500038146973,1.8017080196602075
0.0,0.33192880057999985,0.013,1.25,41.58163452148438,-102.0,0.29969856199999984,13.72500038146973,1.7911962936817374
0.0,0.34258642697999986,0.0225,1.17,41.58163452148438,-102.0,0.2949619799999999,13.72500038146973,1.7312260819847147
0.0,0.3320698555799998,0.01,1.18,41.58163452148438,-102.0,0.2968167939999999,13.72500038146973,1.6997367779942836
0.0,0.33187880057999986,0.013,1.25,41.58163452148438,-102.0,0.2995395489999998,13.72500038146973,1.7353391951623487
0.0,0.3411464269799998,0.0225,1.17,41.58163452148438,-102.0,0.29806435599999986,13.72500038146973,1.7136153734022108
0.05,0.52,0.0216,1.361080635699999,25.12165451049805,-75.0,0.278,6.3125,1.4735732651134856
0.05,0.52,0.0216,1.3559806356999988,25.12165451049805,-75.0,0.278,6.3125,1.4712716143113305
0.0,0.3610208913599999,0.0052326,1.37,27.77131843566895,-89.5,0.215016903,6.945833206176758,1.459941954239475
0.0,0.3741390208099999,0.0046512,1.57,27.77131843566895,-89.5,0.30611598199999973,6.945833206176758,1.577181519487529
0.0,0.534,0.11,1.13,30.32473754882812,-76.0,0.221,11.02499961853027,1.4735732651134856
0.0,0.535,0.015,1.5,30.32473754882812,-76.0,0.197,11.02499961853027,1.2758621871929
0.0,0.359,0.03,1.58,30.32473754882812,-76.0,0.176,11.02499961853027,1.2786556369283903
0.0,0.584,0.014,1.69,30.32473754882812,-76.0,0.188,11.02499961853027,1.277477582993327
0.0,0.534,0.11,1.13,30.32473754882812,-76.0,0.221,11.02499961853027,1.1968305689795904
0.0,0.535,0.015,1.5,30.32473754882812,-76.0,0.197,11.02499961853027,1.1998751399547698
0.0,0.359,0.03,1.58,30.32473754882812,-76.0,0.176,11.02499961853027,1.185048888328572
0.0,0.584,0.014,1.69,30.32473754882812,-76.0,0.188,11.02499961853027,1.1854366670533594
0.0,0.635,0.071,0.88,31.63841819763184,-78.0,0.194,8.408333778381348,1.1505025951693957
0.0,0.671,0.014,1.56,31.63841819763184,-78.0,0.209,8.408333778381348,1.178452338816207
0.0,0.639,0.02,1.47,31.63841819763184,-78.0,0.237,8.408333778381348,1.1936922480900192
0.0,0.466,0.012,1.59,31.63841819763184,-78.0,0.171,8.408333778381348,1.2296572706435824
0.0,0.635,0.071,0.88,31.63841819763184,-78.0,0.194,8.408333778381348,1.2669100447541395
0.0,0.671,0.014,1.56,31.63841819763184,-78.0,0.209,8.408333778381348,1.2584272673495762
0.0,0.639,0.02,1.47,31.63841819763184,-78.0,0.237,8.408333778381348,1.235742200993439
0.0,0.466,0.012,1.59,31.63841819763184,-78.0,0.171,8.408333778381348,1.2142620615006343
0.0,0.423,0.11,1.64,30.32473754882812,-76.0,0.143,11.02499961853027,1.1961949539165935
0.0,0.421,0.013,1.6,30.32473754882812,-76.0,0.16,11.02499961853027,1.2230275254660876
0.0,0.57,0.021,1.55,30.32473754882812,-76.0,0.173,11.02499961853027,1.2209255561391494
0.0,0.23,0.005,1.78,30.32473754882812,-76.0,0.092,11.02499961853027,1.2320852749190339
0.0,0.423,0.11,1.64,30.32473754882812,-76.0,0.143,11.02499961853027,1.2470379395188897
0.0,0.421,0.013,1.6,30.32473754882812,-76.0,0.16,11.02499961853027,1.2518972757876912
0.0,0.57,0.021,1.55,30.32473754882812,-76.0,0.173,11.02499961853027,1.2545130502997413
0.0,0.23,0.005,1.78,30.32473754882812,-76.0,0.092,11.02499961853027,1.2310345903114706
0.01,0.473,0.011,1.22,37.62541961669922,-0.06667,0.245,15.23333358764648,1.4735732651134856
0.01,0.473,0.011,1.14,37.62541961669922,-0.06667,0.245,15.23333358764648,1.623179328181208
0.01,0.473,0.011,1.3,37.62541961669922,-0.06667,0.245,15.23333358764648,1.6568670580480296
0.0,0.715,0.0371,0.75,37.69607925415039,-117.0,0.123,8.458333015441895,1.72005810238091
0.0,0.704,0.0147,1.1,37.69607925415039,-117.0,0.137,8.458333015441895,1.7300865084000259
0.0,0.736,0.0182,1.1,37.69607925415039,-117.0,0.131,8.458333015441895,1.631591904260523
0.05,0.714,0.0319,0.9,37.69607925415039,-117.0,0.123,8.458333015441895,1.5869589604524732
0.05,0.705,0.0143,1.25,37.69607925415039,-117.0,0.135,8.458333015441895,1.6048823721244616
0.05,0.74,0.0134,1.25,37.69607925415039,-117.0,0.132,8.458333015441895,1.5246942090692481
0.0,0.715,0.0371,0.75,37.69607925415039,-117.0,0.123,8.458333015441895,1.4857895258260876
0.0,0.704,0.0147,1.1,37.69607925415039,-117.0,0.137,8.458333015441895,1.5166340478134122
0.0,0.736,0.0182,1.1,37.69607925415039,-117.0,0.131,8.458333015441895,1.4802301432635454
0.05,0.714,0.0319,0.9,37.69607925415039,-117.0,0.123,8.458333015441895,1.4539564516512635
0.05,0.705,0.0143,1.25,37.69607925415039,-117.0,0.135,8.458333015441895,1.4663270277484235
0.0,0.715,0.0371,0.75,37.69607925415039,-117.0,0.123,8.458333015441895,1.4556635417888972
0.0,0.704,0.0147,1.1,37.69607925415039,-117.0,0.137,8.458333015441895,1.4899985380692564
0.05,0.714,0.0319,0.9,37.69607925415039,-117.0,0.123,8.458333015441895,1.4801846599708621
0.0,0.704,0.0147,1.1,37.69607925415039,-117.0,0.137,8.458333015441895,1.5036957807998992
0.0,0.736,0.0182,1.1,37.69607925415039,-117.0,0.131,8.458333015441895,1.498398283793559
0.0,0.736,0.0182,1.1,37.69607925415039,-117.0,0.131,8.458333015441895,1.4908596462820152
0.05,0.714,0.0319,0.9,37.69607925415039,-117.0,0.123,8.458333015441895,1.4924677795208137
0.05,0.74,0.0134,1.25,37.69607925415039,-117.0,0.132,8.458333015441895,1.5188157613857791
0.0,0.52,0.013954,1.3934383129599999,38.66442108154297,1.0,0.229,14.05000019073486,1.2445244112569467
0.0,0.52,0.013954,1.3747255990200002,38.66442108154297,1.0,0.229,14.05000019073486,1.218135781800629
0.0,0.52,0.013954,1.38110831296,38.66442108154297,1.0,0.229,14.05000019073486,1.1879328440127543
0.0,0.074,0.0085,1.66,44.75190734863281,-8.0,0.057,16.54583358764648,1.5898909570222388
0.0,0.138,0.0083,1.83,44.75190734863281,-8.0,0.115,16.54583358764648,1.5043526913368175
0.0,0.129,0.0114,1.62,44.75190734863281,-8.0,0.245,16.54583358764648,1.4187500716187211
0.0,0.251,0.0074,1.7,44.75190734863281,-8.0,0.157,16.54583358764648,1.8260366830324364
0.0,0.41,0.017,1.28,27.90359878540039,17.6,0.44,5.679166793823242,1.0532773724541353
0.075,0.21,0.04,1.44,47.01426315307617,175.3,0.16,12.37083339691162,1.4735732651134856
0.001,0.333,0.0034,1.4536083129600008,29.98168563842773,110.3,0.05,8.012499809265137,1.1430204547516782
0.001,0.333,0.0034,1.4745283129600009,29.98168563842773,110.3,0.05,8.012499809265137,1.1946526550700618
0.001,0.333,0.0034,1.471628312960001,29.98168563842773,110.3,0.05,8.012499809265137,1.2278182319045041
0.001,0.355,0.003,1.4426183129600003,29.98168563842773,110.3,0.06,8.012499809265137,1.220981998567284
0.001,0.355,0.003,1.4420183129600002,29.98168563842773,110.3,0.06,8.012499809265137,1.255669843970174
0.001,0.355,0.003,1.3879730806900006,29.98168563842773,110.3,0.06,8.012499809265137,1.2883292290556698
0.001,0.355,0.003,1.3355361613800005,29.98168563842773,110.3,0.06,8.012499809265137,1.3045275288538252
0.001,0.335,0.0024,1.3130461613800002,29.98168563842773,110.3,0.04,8.012499809265137,1.3057477665394812
0.001,0.335,0.0024,1.3207461613800004,29.98168563842773,110.3,0.04,8.012499809265137,1.3270971198441799
0.001,0.335,0.0024,1.2997676772700004,29.98168563842773,110.3,0.04,8.012499809265137,1.344147605814461
0.001,0.335,0.0024,1.2989676772700003,29.98168563842773,110.3,0.04,8.012499809265137,1.3432331461304785
0.001,0.321,0.0027,1.28874616138,29.98168563842773,110.3,0.03,8.012499809265137,1.3394403779426085
0.001,0.321,0.0027,1.26874616138,29.98168563842773,110.3,0.03,8.012499809265137,1.3526280704690326
0.001,0.321,0.0027,1.2733676772700002,29.98168563842773,110.3,0.03,8.012499809265137,1.3729943295607607
0.001,0.321,0.0027,1.2683676772700003,29.98168563842773,110.3,0.03,8.012499809265137,1.3794689699859408
0.0,0.137,0.0136,1.52,39.75876998901367,52.5,0.172,18.22916603088379,1.7656179404276813
0.0,0.519,0.022,1.37,49.52830123901367,172.5,0.196,11.81666660308838,1.362831661359316
0.0,0.519,0.029,1.25,49.52830123901367,172.5,0.219,11.81666660308838,1.3652310563887806
0.0,0.6,0.031,1.2317581907100001,25.33407592773438,-93.0,0.27,7.170833587646484,1.4735732651134856
0.0,0.6,0.031,1.24188643032,25.33407592773438,-93.0,0.27,7.170833587646484,1.321786869188918
0.0,0.6,0.031,1.25146,25.33407592773438,-93.0,0.27,7.170833587646484,1.1426043030067035
0.0,0.52,0.0255,1.01,49.68102264404297,172.5,0.25,11.82499980926514,1.3947014484529314
0.175,0.52,0.0255,1.25,49.68102264404297,172.5,0.25,11.82499980926514,1.4059618506682008
0.175,0.52,0.0255,1.24,49.68102264404297,172.5,0.25,11.82499980926514,1.391580018153578
0.175,0.52,0.0255,1.24,49.68102264404297,172.5,0.25,11.82499980926514,1.3936752441181763
0.175,0.52,0.0255,1.32,49.68102264404297,172.5,0.25,11.82499980926514,1.3931207961387393
0.175,0.52,0.0255,1.34,49.68102264404297,172.5,0.25,11.82499980926514,1.391914973512324
0.0,0.299,0.0054,1.53,40.83924102783203,-6.0,0.248,18.64999961853027,1.3366177594443664
0.0,0.299,0.0054,1.26,40.83924102783203,-6.0,0.248,18.64999961853027,1.3393666243451616
0.0,0.299,0.0054,1.65,40.83924102783203,-6.0,0.248,18.64999961853027,1.3721800343137704
0.0,0.299,0.0054,1.39,40.83924102783203,-6.0,0.248,18.64999961853027,1.3240176574477138
0.0,0.325,0.037,1.2,25.882080078125,-81.0,0.141,7.320833206176758,1.3603389090018483
