BulkDensity,AnnualPrecipitation,SoilOrganicCarbon,AverageAridityIndex,Season_sin,SoilTypeWRB,MeanDiurnalRange,UpperD_m,MeanTemperatureofDriestQuarter,Longitude,MeanTemperatureofWarmestQuarter,PrecipitationofDriestQuarter
0.82,397.0,0.059,0.0413,0.8660254037844387,1.2621258000467888,11.90833377838135,0.0,-12.43333339691162,-106.0,17.08333396911621,45.0
0.81,397.0,0.052,0.0413,0.8660254037844387,1.4811166903917603,11.90833377838135,0.0,-12.43333339691162,-106.0,17.08333396911621,45.0
1.11,397.0,0.036,0.0413,0.8660254037844387,1.542316004894806,11.90833377838135,0.0,-12.43333339691162,-106.0,17.08333396911621,45.0
1.3362275305599993,692.0,0.073256,0.0458,0.0,1.2621258000467888,10.00833320617676,0.005,21.98333358764648,-8.5,22.26666641235352,32.0
1.3089546210399996,692.0,0.073256,0.0458,0.0,1.544668483151566,10.00833320617676,0.005,21.98333358764648,-8.5,22.26666641235352,32.0
1.2549047188300002,692.0,0.073256,0.0458,0.8660254037844387,1.5638459544432528,10.00833320617676,0.005,21.98333358764648,-8.5,22.26666641235352,32.0
1.25650471883,692.0,0.073256,0.0458,0.8660254037844387,1.553363917154949,10.00833320617676,0.005,21.98333358764648,-8.5,22.26666641235352,32.0
1.25188491443,692.0,0.073256,0.0458,0.8660254037844387,1.5472163335679203,10.00833320617676,0.005,21.98333358764648,-8.5,22.26666641235352,32.0
1.2293767481699998,692.0,0.073256,0.0458,0.0,1.5824043643002728,10.00833320617676,0.005,21.98333358764648,-8.5,22.26666641235352,32.0
1.2291867481699996,692.0,0.073256,0.0458,0.0,1.5440183286747309,10.00833320617676,0.005,21.98333358764648,-8.5,22.26666641235352,32.0
1.24707674817,692.0,0.073256,0.0458,0.8660254037844387,1.5094183428268466,10.00833320617676,0.005,21.98333358764648,-8.5,22.26666641235352,32.0
1.2533867481699998,692.0,0.073256,0.0458,0.8660254037844387,1.4979292299438827,10.00833320617676,0.005,21.98333358764648,-8.5,22.26666641235352,32.0
1.2502867481699997,692.0,0.073256,0.0458,0.8660254037844387,1.4906133342662393,10.00833320617676,0.005,21.98333358764648,-8.5,22.26666641235352,32.0
1.42,303.0,0.0062209,0.0177,-0.01732050807568883,1.2621258000467888,11.35833358764648,0.0,25.26666641235352,-1.0,25.45000076293945,31.0
1.36,303.0,0.0062209,0.0177,-0.008660254037844452,1.5407779743449135,11.35833358764648,0.0,25.26666641235352,-1.0,25.45000076293945,31.0
1.2393033985299995,621.0,0.010291,0.0648,-2.449293598294706e-16,1.2621258000467888,8.716666221618652,0.12,6.666666507720947,1.8,17.68333435058594,140.0
1.2596636185799996,621.0,0.010872,0.0648,-2.449293598294706e-16,1.1280059822845678,8.716666221618652,0.12,6.666666507720947,1.8,17.68333435058594,140.0
1.284245158919999,621.0,0.010814,0.0648,-2.449293598294706e-16,1.0737404293438404,8.716666221618652,0.1,6.666666507720947,1.8,17.68333435058594,140.0
1.3339213447399991,621.0,0.010291,0.0648,0.0,0.9410521141130801,8.716666221618652,0.12,6.666666507720947,1.8,17.68333435058594,140.0
1.3614413447399993,621.0,0.010291,0.0648,-0.8660254037844385,0.9590302538140122,8.716666221618652,0.12,6.666666507720947,1.8,17.68333435058594,140.0
1.3625513447399995,621.0,0.0057,0.0648,0.0,0.9186240029800495,8.716666221618652,0.3,6.666666507720947,1.8,17.68333435058594,140.0
1.3889613447400004,621.0,0.0057,0.0648,-0.8660254037844385,0.9555040623617438,8.716666221618652,0.3,6.666666507720947,1.8,17.68333435058594,140.0
1.18,470.0,0.01,0.0216,0.8660254037844387,1.2621258000467888,16.29999923706055,0.0,3.116666555404663,-102.0,24.39999961853027,36.0
1.25,470.0,0.013,0.0216,0.8660254037844387,1.589306455818198,16.29999923706055,0.0,3.116666555404663,-102.0,24.39999961853027,36.0
1.17,470.0,0.0225,0.0216,0.8660254037844387,1.5865792208045584,16.29999923706055,0.0,3.116666555404663,-102.0,24.39999961853027,36.0
1.18,470.0,0.01,0.0216,0.8660254037844387,1.588856326597702,16.29999923706055,0.0,3.116666555404663,-102.0,24.39999961853027,36.0
1.25,470.0,0.013,0.0216,0.8660254037844387,1.5842458914782476,16.29999923706055,0.0,3.116666555404663,-102.0,24.39999961853027,36.0
1.17,470.0,0.0225,0.0216,0.8660254037844387,1.5414851630481363,16.29999923706055,0.0,3.116666555404663,-102.0,24.39999961853027,36.0
1.18,470.0,0.01,0.0216,0.8660254037844387,1.5169329557445155,16.29999923706055,0.0,3.116666555404663,-102.0,24.39999961853027,36.0
1.25,470.0,0.013,0.0216,0.8660254037844387,1.561330215503025,16.29999923706055,0.0,3.116666555404663,-102.0,24.39999961853027,36.0
1.17,470.0,0.0225,0.0216,0.8660254037844387,1.535866770414161,16.29999923706055,0.0,3.116666555404663,-102.0,24.39999961853027,36.0
1.3705138141799993,990.0,0.0216,0.104,0.8660254037844387,1.2621258000467888,10.32499980926514,0.05,-6.849999904632568,-75.0,19.29999923706055,197.0
1.3882404645499997,990.0,0.0216,0.104,0.8660254037844387,1.0991363501696274,10.32499980926514,0.05,-6.849999904632568,-75.0,19.29999923706055,197.0
1.37,811.0,0.0052326,0.07880000000000001,0.0,0.9684197272787078,11.94166660308838,0.0,-7.583333492279053,-89.5,20.16666603088379,81.0
1.57,811.0,0.0046512,0.07880000000000001,0.0,1.0844150698313717,11.94166660308838,0.0,-7.583333492279053,-89.5,20.16666603088379,81.0
1.13,1146.0,0.11,0.0922,0.0,1.2621258000467888,10.58333301544189,0.0,0.5499999523162842,-76.0,22.04999923706055,247.0
1.5,1146.0,0.015,0.0922,0.0,0.9744690374092357,10.58333301544189,0.0,0.5499999523162842,-76.0,22.04999923706055,247.0
1.58,1146.0,0.03,0.0922,0.0,0.9442702339068951,10.58333301544189,0.0,0.5499999523162842,-76.0,22.04999923706055,247.0
1.69,1146.0,0.014,0.0922,0.0,0.939389809384491,10.58333301544189,0.0,0.5499999523162842,-76.0,22.04999923706055,247.0
1.13,1146.0,0.11,0.0922,-0.8660254037844385,0.8709708323462545,10.58333301544189,0.0,0.5499999523162842,-76.0,22.04999923706055,247.0
1.5,1146.0,0.015,0.0922,-0.8660254037844385,0.8595901813077211,10.58333301544189,0.0,0.5499999523162842,-76.0,22.04999923706055,247.0
1.58,1146.0,0.03,0.0922,-0.8660254037844385,0.8538121088079988,10.58333301544189,0.0,0.5499999523162842,-76.0,22.04999923706055,247.0
1.69,1146.0,0.014,0.0922,-0.8660254037844385,0.8425479662905246,10.58333301544189,0.0,0.5499999523162842,-76.0,22.04999923706055,247.0
0.88,1038.0,0.071,0.09860000000000001,0.0,0.7931996320719459,11.19999980926514,0.0,-3.150000095367432,-78.0,19.26666641235352,208.0
1.56,1038.0,0.014,0.09860000000000001,0.0,0.8138323788587589,11.19999980926514,0.0,-3.150000095367432,-78.0,19.26666641235352,208.0
1.47,1038.0,0.02,0.09860000000000001,0.0,0.830200904828176,11.19999980926514,0.0,-3.150000095367432,-78.0,19.26666641235352,208.0
1.59,1038.0,0.012,0.09860000000000001,0.0,0.8620892824931977,11.19999980926514,0.0,-3.150000095367432,-78.0,19.26666641235352,208.0
0.88,1038.0,0.071,0.09860000000000001,-0.8660254037844385,0.8905666715867564,11.19999980926514,0.0,-3.150000095367432,-78.0,19.26666641235352,208.0
1.56,1038.0,0.014,0.09860000000000001,-0.8660254037844385,0.8795076366226147,11.19999980926514,0.0,-3.150000095367432,-78.0,19.26666641235352,208.0
1.47,1038.0,0.02,0.09860000000000001,-0.8660254037844385,0.8592055941294452,11.19999980926514,0.0,-3.150000095367432,-78.0,19.26666641235352,208.0
1.59,1038.0,0.012,0.09860000000000001,-0.8660254037844385,0.8369884520515477,11.19999980926514,0.0,-3.150000095367432,-78.0,19.26666641235352,208.0
1.64,1146.0,0.11,0.0922,0.0,0.8157919748818969,10.58333301544189,0.0,0.5499999523162842,-76.0,22.04999923706055,247.0
1.6,1146.0,0.013,0.0922,0.0,0.836999828524201,10.58333301544189,0.0,0.5499999523162842,-76.0,22.04999923706055,247.0
1.55,1146.0,0.021,0.0922,0.0,0.8349351833443213,10.58333301544189,0.0,0.5499999523162842,-76.0,22.04999923706055,247.0
1.78,1146.0,0.005,0.0922,0.0,0.8467305679237718,10.58333301544189,0.0,0.5499999523162842,-76.0,22.04999923706055,247.0
1.64,1146.0,0.11,0.0922,-0.8660254037844385,0.8603948280771935,10.58333301544189,0.0,0.5499999523162842,-76.0,22.04999923706055,247.0
1.6,1146.0,0.013,0.0922,-0.8660254037844385,0.8658617075497973,10.58333301544189,0.0,0.5499999523162842,-76.0,22.04999923706055,247.0
1.55,1146.0,0.021,0.0922,-0.8660254037844385,0.8628807076203572,10.58333301544189,0.0,0.5499999523162842,-76.0,22.04999923706055,247.0
1.78,1146.0,0.005,0.0922,-0.8660254037844385,0.8382856069488355,10.58333301544189,0.0,0.5499999523162842,-76.0,22.04999923706055,247.0
1.22,410.0,0.011,0.0257,-2.449293598294706e-16,1.2621258000467888,11.25,0.01,8.566666603088379,-0.06667,23.78333282470703,78.0
1.14,410.0,0.011,0.0257,-2.449293598294706e-16,1.4136002620657644,11.25,0.01,8.566666603088379,-0.06667,23.78333282470703,78.0
1.3,410.0,0.011,0.0257,-2.449293598294706e-16,1.4398833177133978,11.25,0.01,8.566666603088379,-0.06667,23.78333282470703,78.0
0.75,565.0,0.0371,0.046,0.0,1.527629708401845,12.81666660308838,0.0,17.45000076293945,-117.0,17.64999961853027,80.0
1.1,565.0,0.0147,0.046,0.0,1.535174157425544,12.81666660308838,0.0,17.45000076293945,-117.0,17.64999961853027,80.0
1.1,565.0,0.0182,0.046,0.0,1.4336061526468071,12.81666660308838,0.0,17.45000076293945,-117.0,17.64999961853027,80.0
0.9,565.0,0.0319,0.046,0.0,1.3898460754978248,12.81666660308838,0.05,17.45000076293945,-117.0,17.64999961853027,80.0
1.25,565.0,0.0143,0.046,0.0,1.4087326690819475,12.81666660308838,0.05,17.45000076293945,-117.0,17.64999961853027,80.0
1.25,565.0,0.0134,0.046,0.0,1.3255662175911256,12.81666660308838,0.05,17.45000076293945,-117.0,17.64999961853027,80.0
0.75,565.0,0.0371,0.046,-0.8660254037844385,1.288194699458057,12.81666660308838,0.0,17.45000076293945,-117.0,17.64999961853027,80.0
1.1,565.0,0.0147,0.046,-0.8660254037844385,1.318444163979509,12.81666660308838,0.0,17.45000076293945,-117.0,17.64999961853027,80.0
