PrecipitationofDriestQuarter,SoilTypeWRB,Method,Longitude,AnnualPrecipitation,MeanTemperatureofDriestQuarter,SoilOrganicCarbon,BulkDensity,AverageAridityIndex,SoilTextureUSDA,MeanDiurnalRange
45.0,1.0769309068580473,1.0769309068580473,-106.0,397.0,-12.43333339691162,0.059,0.82,0.0413,1.0769309068580473,11.90833377838135
45.0,1.263494426369371,1.263494426369371,-106.0,397.0,-12.43333339691162,0.052,0.81,0.0413,1.263494426369371,11.90833377838135
45.0,1.309775818448892,1.309775818448892,-106.0,397.0,-12.43333339691162,0.036,1.11,0.0413,1.309775818448892,11.90833377838135
32.0,1.0769309068580473,1.0769309068580473,-8.5,692.0,21.98333358764648,0.073256,1.3450799999999998,0.0458,1.0769309068580473,10.00833320617676
32.0,1.3402531096504118,1.3402531096504118,-8.5,692.0,21.98333358764648,0.073256,1.3259018092900001,0.0458,1.3402531096504118,10.00833320617676
32.0,1.3747416719375745,1.3747416719375745,-8.5,692.0,21.98333358764648,0.073256,1.28626779952,0.0458,1.3747416719375745,10.00833320617676
32.0,1.3732358442201824,1.3732358442201824,-8.5,692.0,21.98333358764648,0.073256,1.28696779952,0.0458,1.3732358442201824,10.00833320617676
32.0,1.3538083476480958,1.3538083476480958,-8.5,692.0,21.98333358764648,0.073256,1.2718795354599997,0.0458,1.3538083476480958,10.00833320617676
32.0,1.3722189643174862,1.3722189643174862,-8.5,692.0,21.98333358764648,0.073256,1.2744399999999994,0.0458,1.3722189643174862,10.00833320617676
32.0,1.3374457164238056,1.3374457164238056,-8.5,692.0,21.98333358764648,0.073256,1.2743099999999994,0.0458,1.3374457164238056,10.00833320617676
32.0,1.3042346545868992,1.3042346545868992,-8.5,692.0,21.98333358764648,0.073256,1.2736495354599997,0.0458,1.3042346545868992,10.00833320617676
32.0,1.294999741347278,1.294999741347278,-8.5,692.0,21.98333358764648,0.073256,1.2677795354599999,0.0458,1.294999741347278,10.00833320617676
32.0,1.2857892847454286,1.2857892847454286,-8.5,692.0,21.98333358764648,0.073256,1.2699795354599996,0.0458,1.2857892847454286,10.00833320617676
31.0,1.0769309068580473,1.0769309068580473,-1.0,303.0,25.26666641235352,0.0062209,1.42,0.0177,1.2364408072030288,11.35833358764648
31.0,1.3213948503848683,1.3213948503848683,-1.0,303.0,25.26666641235352,0.0062209,1.36,0.0177,1.3023244045447608,11.35833358764648
140.0,1.0769309068580473,1.3206023183726208,1.8,621.0,6.666666507720947,0.010291,1.27225819072,0.0648,1.0769309068580473,8.716666221618652
