PrecipitationofDriestQuarter,Method,MeanTemperatureofWarmestQuarter,AverageAridityIndex,PrecipitationofColdestQuarter,Longitude,BulkDensity,AnnualPrecipitation,MeanTemperatureofDriestQuarter,SoilOrganicCarbon,SoilTypeWRB,MeanDiurnalRange
45.0,0.9321215927452601,17.08333396911621,0.0413,45.0,-106.0,0.82,397.0,-12.43333339691162,0.059,0.9321215927452601,11.90833377838135
45.0,1.1023832406686214,17.08333396911621,0.0413,45.0,-106.0,0.81,397.0,-12.43333339691162,0.052,1.1023832406686214,11.90833377838135
45.0,1.1403154586214737,17.08333396911621,0.0413,45.0,-106.0,1.11,397.0,-12.43333339691162,0.036,1.1403154586214737,11.90833377838135
32.0,0.9321215927452601,22.26666641235352,0.0458,289.0,-8.5,1.3377029095399993,692.0,21.98333358764648,0.073256,0.9321215927452601,10.00833320617676
32.0,1.1885122998140585,22.26666641235352,0.0458,289.0,-8.5,1.2954920537899997,692.0,21.98333358764648,0.073256,1.1885122998140585,10.00833320617676
32.0,1.2360994660206404,22.26666641235352,0.0458,289.0,-8.5,1.2878420537899995,692.0,21.98333358764648,0.073256,1.2360994660206404,10.00833320617676
32.0,1.242080037388874,22.26666641235352,0.0458,289.0,-8.5,1.2839420537899997,692.0,21.98333358764648,0.073256,1.242080037388874,10.00833320617676
32.0,1.2139008124709394,22.26666641235352,0.0458,289.0,-8.5,1.2842420537899997,692.0,21.98333358764648,0.073256,1.2139008124709394,10.00833320617676
32.0,1.2208547407790495,22.26666641235352,0.0458,289.0,-8.5,1.2847720537899996,692.0,21.98333358764648,0.073256,1.2208547407790495,10.00833320617676
32.0,1.1889641486076463,22.26666641235352,0.0458,289.0,-8.5,1.2820420537899997,692.0,21.98333358764648,0.073256,1.1889641486076463,10.00833320617676
32.0,1.1569780200283573,22.26666641235352,0.0458,289.0,-8.5,1.2819303667499997,692.0,21.98333358764648,0.073256,1.1569780200283573,10.00833320617676
32.0,1.1495287699765444,22.26666641235352,0.0458,289.0,-8.5,1.28125036675,692.0,21.98333358764648,0.073256,1.1495287699765444,10.00833320617676
32.0,1.1391231342766361,22.26666641235352,0.0458,289.0,-8.5,1.2804603667499999,692.0,21.98333358764648,0.073256,1.1391231342766361,10.00833320617676
31.0,0.9321215927452601,25.45000076293945,0.0177,73.0,-1.0,1.42,303.0,25.26666641235352,0.0062209,0.9321215927452601,11.35833358764648
31.0,1.1590342777751406,25.45000076293945,0.0177,73.0,-1.0,1.36,303.0,25.26666641235352,0.0062209,1.1590342777751406,11.35833358764648
140.0,1.1640989963046287,17.68333435058594,0.0648,155.0,1.8,1.2385809779899994,621.0,6.666666507720947,0.010291,0.9321215927452601,8.716666221618652
140.0,1.0954783381994024,17.68333435058594,0.0648,155.0,1.8,1.2668142298299994,621.0,6.666666507720947,0.010872,0.6363863458935879,8.716666221618652
140.0,1.0440081320953674,17.68333435058594,0.0648,155.0,1.8,1.2814683129599993,621.0,6.666666507720947,0.010814,0.5663794502113738,8.716666221618652
140.0,0.9718823031344023,17.68333435058594,0.0648,155.0,1.8,1.3477299999999999,621.0,6.666666507720947,0.010291,0.43334621931899464,8.716666221618652
140.0,0.9344782217425646,17.68333435058594,0.0648,155.0,1.8,1.3759099999999997,621.0,6.666666507720947,0.010291,0.4288411919065629,8.716666221618652
140.0,0.8896285132616726,17.68333435058594,0.0648,155.0,1.8,1.33879,621.0,6.666666507720947,0.0057,0.39351480759685126,8.716666221618652
140.0,0.8792502594801349,17.68333435058594,0.0648,155.0,1.8,1.3766600000000002,621.0,6.666666507720947,0.0057,0.4391838635080912,8.716666221618652
36.0,0.9321215927452601,24.39999961853027,0.0216,36.0,-102.0,1.18,470.0,3.116666555404663,0.01,0.9321215927452601,16.29999923706055
36.0,1.2849116071354842,24.39999961853027,0.0216,36.0,-102.0,1.25,470.0,3.116666555404663,0.013,1.2849116071354842,16.29999923706055
36.0,1.294343704636472,24.39999961853027,0.0216,36.0,-102.0,1.17,470.0,3.116666555404663,0.0225,1.294343704636472,16.29999923706055
36.0,1.2590511444066075,24.39999961853027,0.0216,36.0,-102.0,1.18,470.0,3.116666555404663,0.01,1.2590511444066075,16.29999923706055
36.0,1.2613998730793017,24.39999961853027,0.0216,36.0,-102.0,1.25,470.0,3.116666555404663,0.013,1.2613998730793017,16.29999923706055
36.0,1.2187631332070545,24.39999961853027,0.0216,36.0,-102.0,1.17,470.0,3.116666555404663,0.0225,1.2187631332070545,16.29999923706055
36.0,1.1917192017461298,24.39999961853027,0.0216,36.0,-102.0,1.18,470.0,3.116666555404663,0.01,1.1917192017461298,16.29999923706055
36.0,1.2429023021646268,24.39999961853027,0.0216,36.0,-102.0,1.25,470.0,3.116666555404663,0.013,1.2429023021646268,16.29999923706055
36.0,1.21569270381909,24.39999961853027,0.0216,36.0,-102.0,1.17,470.0,3.116666555404663,0.0225,1.21569270381909,16.29999923706055
197.0,0.8649772451846007,19.29999923706055,0.104,213.0,-75.0,1.3284811980400002,990.0,-6.849999904632568,0.0216,0.9321215927452601,10.32499980926514
