Method,Direction,SoilTextureUSDA,SoilTypeWRB,LanduseClass,TillageClass,CropClass,SamplingTimeClass,ContainsCereals,ContainsFallow,ContainsGrassHerbs,ContainsLegume,ContainsMaize,ContainsTreesFruits,ContainsVegetables,Latitude,Longitude,AnnualPrecipitation,PrecipitationofWettestMonth,PrecipitationofDriestMonth,PrecipitationSeasonality,PrecipitationofWettestQuarter,PrecipitationofDriestQuarter,PrecipitationofWarmestQuarter,PrecipitationofColdestQuarter,MeanDiurnalRange,AverageAridityIndex,AverageAnnualEvapoTranspiration,AnnualMeanTemperature,MeanTemperatureofWarmestQuarter,MeanTemperatureofColdestQuarter,Isothermality,TemperatureSeasonality,MaxTemperatureofWarmestMonth,MinTemperatureofColdestMonth,TemperatureAnnualRange,MeanTemperatureofWettestQuarter,MeanTemperatureofDriestQuarter,Season_sin,Season_cos,UpperD_m,Diameter,ClayContent,SiltContent,SandContent,BulkDensity,SoilOrganicCarbon,NbOfCropRotation,ExID,weight,log_Ks
1.665302365136365,1.665302365136365,1.665302365136365,1.665302365136365,1.6812977154756974,1.6991077654054718,1.6189172191961658,1.7336029661887056,1.665302365136365,1.665302365136365,1.665302365136365,1.665302365136365,1.665302365136365,1.665302365136365,1.665302365136365,52.0,-106.0,397.0,66.0,11.0,58.5389518737793,182.0,45.0,179.0,45.0,11.90833377838135,0.0413,960.0,2.020833253860474,17.08333396911621,-15.10000038146973,25.33687973022461,1312.740844726562,24.60000038146973,-22.39999961853027,47.0,15.13333320617676,-12.43333339691162,0.8660254037844387,-0.4999999999999998,0.0,20.0,0.34,0.38,0.28,0.82,0.059,1.0,1.0,10.392304845413264,2.015132907260106
1.8402176361982354,1.8402176361982354,1.8402176361982354,1.8402176361982354,1.665302365136365,1.665302365136365,1.7644580277668585,1.7392940402725414,1.8402176361982354,1.8402176361982354,1.8402176361982354,1.8402176361982354,1.8402176361982354,1.8402176361982354,1.8402176361982354,52.0,-106.0,397.0,66.0,11.0,58.5389518737793,182.0,45.0,179.0,45.0,11.90833377838135,0.0413,960.0,2.020833253860474,17.08333396911621,-15.10000038146973,25.33687973022461,1312.740844726562,24.60000038146973,-22.39999961853027,47.0,15.13333320617676,-12.43333339691162,0.8660254037844387,-0.4999999999999998,0.0,20.0,0.34,0.39,0.27,0.81,0.052,0.0,2.0,10.392304845413264,2.051574258827018
1.9106698437411629,1.9106698437411629,1.9106698437411629,1.9106698437411629,1.665302365136365,1.665302365136365,1.665302365136365,1.665302365136365,1.665302365136365,1.665302365136365,1.9106698437411629,1.9106698437411629,1.9106698437411629,1.9106698437411629,1.9106698437411629,52.0,-106.0,397.0,66.0,11.0,58.5389518737793,182.0,45.0,179.0,45.0,11.90833377838135,0.0413,960.0,2.020833253860474,17.08333396911621,-15.10000038146973,25.33687973022461,1312.740844726562,24.60000038146973,-22.39999961853027,47.0,15.13333320617676,-12.43333339691162,0.8660254037844387,-0.4999999999999998,0.0,20.0,0.37,0.34,0.29,1.11,0.036,3.0,3.0,10.392304845413264,1.436302616843199
1.665302365136365,1.665302365136365,1.665302365136365,1.665302365136365,1.5508024909897817,1.5508024909897817,1.665302365136365,1.665302365136365,1.9106698437411629,1.9106698437411629,1.7920780370166722,1.7920780370166722,1.665302365136365,1.7920780370166722,1.7920780370166722,39.0,-8.5,692.0,109.0,5.0,61.84100341796875,305.0,32.0,39.0,289.0,10.00833320617676,0.0458,1508.0,16.46249961853027,22.26666641235352,11.05000019073486,43.70451354980469,455.1429748535156,29.39999961853027,6.5,22.89999961853027,11.85000038146973,21.98333358764648,0.0,1.0,0.005,20.0,0.164,0.279,0.557,1.391059999999999,0.073256,1.0,5.0,2.846049894151541,2.209519303849666
1.9374108344930159,1.9374108344930159,1.9374108344930159,1.9374108344930159,1.770374761943077,1.770374761943077,1.9374108344930159,1.550802490989782,1.9853822087682889,1.9853822087682889,1.875566290383271,1.875566290383271,1.9374108344930159,1.875566290383271,1.875566290383271,39.0,-8.5,692.0,109.0,5.0,61.84100341796875,305.0,32.0,39.0,289.0,10.00833320617676,0.0458,1508.0,16.46249961853027,22.26666641235352,11.05000019073486,43.70451354980469,455.1429748535156,29.39999961853027,6.5,22.89999961853027,11.85000038146973,21.98333358764648,0.0,1.0,0.005,20.0,0.164,0.279,0.557,1.5037999999999994,0.073256,1.0,6.0,2.846049894151541,1.873128120782636
1.9159832632562226,1.9159832632562226,1.9159832632562226,1.9159832632562226,1.7960631016529665,1.7960631016529665,1.9159832632562226,1.6582443675874001,1.9629313911711581,1.9629313911711581,1.8751599287831648,1.8751599287831648,1.9159832632562226,1.8751599287831648,1.8751599287831648,39.0,-8.5,692.0,109.0,5.0,61.84100341796875,305.0,32.0,39.0,289.0,10.00833320617676,0.0458,1508.0,16.46249961853027,22.26666641235352,11.05000019073486,43.70451354980469,455.1429748535156,29.39999961853027,6.5,22.89999961853027,11.85000038146973,21.98333358764648,0.8660254037844387,-0.4999999999999998,0.005,20.0,0.164,0.279,0.557,1.5048599999999996,0.073256,1.0,7.0,2.846049894151541,1.976822080616873
1.9311929675963853,1.9311929675963853,1.9311929675963853,1.9311929675963853,1.8322148974457477,1.8322148974457477,1.9311929675963853,1.7378887958447684,1.9652465060787774,1.9652465060787774,1.8896830933308377,1.8896830933308377,1.9311929675963853,1.8896830933308377,1.8896830933308377,39.0,-8.5,692.0,109.0,5.0,61.84100341796875,305.0,32.0,39.0,289.0,10.00833320617676,0.0458,1508.0,16.46249961853027,22.26666641235352,11.05000019073486,43.70451354980469,455.1429748535156,29.39999961853027,6.5,22.89999961853027,11.85000038146973,21.98333358764648,0.8660254037844387,-0.4999999999999998,0.005,20.0,0.164,0.279,0.557,1.5231699999999992,0.073256,1.0,8.0,2.846049894151541,2.254656335138524
1.9958856411048127,1.9958856411048127,1.9958856411048127,1.9958856411048127,1.9026218037278773,1.9026218037278773,1.9958856411048127,1.8412423037035193,2.006590767373027,2.006590767373027,1.9353047485567985,1.9353047485567985,1.9958856411048127,1.9353047485567985,1.9353047485567985,39.0,-8.5,692.0,109.0,5.0,61.84100341796875,305.0,32.0,39.0,289.0,10.00833320617676,0.0458,1508.0,16.46249961853027,22.26666641235352,11.05000019073486,43.70451354980469,455.1429748535156,29.39999961853027,6.5,22.89999961853027,11.85000038146973,21.98333358764648,0.8660254037844387,-0.4999999999999998,0.005,20.0,0.164,0.279,0.557,1.4184999999999997,0.073256,1.0,9.0,2.846049894151541,2.017030833746465
1.9994098398784212,1.9994098398784212,1.9994098398784212,1.9994098398784212,1.9189659508733896,1.665302365136365,1.9994098398784212,1.9374108344930154,2.0078957756697067,2.0078957756697067,1.9443854246889838,1.9443854246889838,1.9994098398784212,1.9443854246889838,1.9443854246889838,39.0,-8.5,692.0,109.0,5.0,61.84100341796875,305.0,32.0,39.0,289.0,10.00833320617676,0.0458,1508.0,16.46249961853027,22.26666641235352,11.05000019073486,43.70451354980469,455.1429748535156,29.39999961853027,6.5,22.89999961853027,11.85000038146973,21.98333358764648,0.0,1.0,0.005,20.0,0.164,0.279,0.557,1.396889999999999,0.073256,1.0,10.0,2.846049894151541,2.363702025559521
2.051451580690007,2.051451580690007,2.051451580690007,2.051451580690007,1.9745579602091559,2.014502195347943,2.051451580690007,1.87054039204401,2.0474298034352416,2.0474298034352416,1.9863170847760372,1.9863170847760372,2.051451580690007,1.9863170847760372,1.9863170847760372,39.0,-8.5,692.0,109.0,5.0,61.84100341796875,305.0,32.0,39.0,289.0,10.00833320617676,0.0458,1508.0,16.46249961853027,22.26666641235352,11.05000019073486,43.70451354980469,455.1429748535156,29.39999961853027,6.5,22.89999961853027,11.85000038146973,21.98333358764648,0.0,1.0,0.005,20.0,0.164,0.279,0.557,1.3854199999999992,0.073256,1.0,11.0,2.846049894151541,2.37721843600762
